"COU","Country","DESIG","Designation","DOMAIN","Domain","MEASURE","Measure","CALCULATION","Calculation method","SCOPE","Scope","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,36.2668945161,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,36.2668945161,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,36.2668945161,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,36.2668945161,,
"BEL","Belgium","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2021","2021","PC","Percentage","0","Units",,,36.2668945161,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1950","1950","PC","Percentage","0","Units",,,0.0332382471,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1960","1960","PC","Percentage","0","Units",,,0.072198241,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1970","1970","PC","Percentage","0","Units",,,0.2496566523,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1980","1980","PC","Percentage","0","Units",,,0.26867401,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1985","1985","PC","Percentage","0","Units",,,0.2881251408,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1990","1990","PC","Percentage","0","Units",,,0.3351442628,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","1995","1995","PC","Percentage","0","Units",,,0.3774047111,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2000","2000","PC","Percentage","0","Units",,,0.4326623997,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2001","2001","PC","Percentage","0","Units",,,0.4335845574,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2002","2002","PC","Percentage","0","Units",,,0.4371842493,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2003","2003","PC","Percentage","0","Units",,,0.493119123,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2004","2004","PC","Percentage","0","Units",,,0.5347925388,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2005","2005","PC","Percentage","0","Units",,,0.5722312065,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2006","2006","PC","Percentage","0","Units",,,0.5783820454,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2007","2007","PC","Percentage","0","Units",,,0.5817788938,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2008","2008","PC","Percentage","0","Units",,,0.7372974406,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2009","2009","PC","Percentage","0","Units",,,0.7467671112,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2010","2010","PC","Percentage","0","Units",,,0.9042235935,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2011","2011","PC","Percentage","0","Units",,,0.9057277561,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2012","2012","PC","Percentage","0","Units",,,0.9057714454,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2013","2013","PC","Percentage","0","Units",,,0.9289923445,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2014","2014","PC","Percentage","0","Units",,,0.9290001462,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2015","2015","PC","Percentage","0","Units",,,0.9534583906,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2016","2016","PC","Percentage","0","Units",,,0.9942751827,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2017","2017","PC","Percentage","0","Units",,,2.9388530661,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2018","2018","PC","Percentage","0","Units",,,3.1369874708,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2019","2019","PC","Percentage","0","Units",,,8.7971370205,,
"CAN","Canada","ALL_INC_POINTS","All, including data recorded as points","MARINE","Marine","PCNT","Percent of total land/EEZ area","NAIVE","Total for category","COUNTRY","Country","2020","2020","PC","Percentage","0","Units",,,8.7980092475,,
