Country,IUCN,Species,Value
Germany,CRITICAL,Amphibians,0.0
Germany,CRITICAL,Birds,30.0
Germany,CRITICAL,Fish,12.0
Germany,CRITICAL,Freshwater Fish,8.0
Germany,CRITICAL,Invertebrates,559.0
Germany,CRITICAL,Lichens,337.0
Germany,CRITICAL,Mammals,7.0
Germany,CRITICAL,Marine Fish,4.0
Germany,CRITICAL,Mosses,45.0
Germany,CRITICAL,Vascular plants,212.0
Germany,ENDANGERED,Amphibians,2.0
Germany,ENDANGERED,Birds,24.0
Germany,ENDANGERED,Fish,14.0
Germany,ENDANGERED,Freshwater Fish,9.0
Germany,ENDANGERED,Invertebrates,1010.0
Germany,ENDANGERED,Lichens,169.0
Germany,ENDANGERED,Mammals,10.0
Germany,ENDANGERED,Marine Fish,5.0
Germany,ENDANGERED,Mosses,114.0
Germany,ENDANGERED,Vascular plants,378.0
Germany,TOT_KNOWN,Amphibians,22.0
Germany,TOT_KNOWN,Birds,280.0
Germany,TOT_KNOWN,Fish,197.0
Germany,TOT_KNOWN,Freshwater Fish,103.0
Germany,TOT_KNOWN,Invertebrates,10434.0
Germany,TOT_KNOWN,Lichens,2380.0
Germany,TOT_KNOWN,Mammals,107.0
Germany,TOT_KNOWN,Marine Fish,94.0
Germany,TOT_KNOWN,Mosses,1195.0
Germany,TOT_KNOWN,Vascular plants,4305.0
Germany,VULNERABLE,Amphibians,6.0
Germany,VULNERABLE,Birds,40.0
Germany,VULNERABLE,Fish,23.0
Germany,VULNERABLE,Freshwater Fish,11.0
Germany,VULNERABLE,Invertebrates,2183.0
Germany,VULNERABLE,Lichens,546.0
Germany,VULNERABLE,Mammals,22.0
Germany,VULNERABLE,Marine Fish,12.0
Germany,VULNERABLE,Mosses,250.0
Germany,VULNERABLE,Vascular plants,820.0
Greece,CRITICAL,Amphibians,1.0
Greece,CRITICAL,Birds,14.0
Greece,CRITICAL,Fish,19.0
Greece,CRITICAL,Freshwater Fish,14.0
Greece,CRITICAL,Mammals,3.0
Greece,CRITICAL,Marine Fish,5.0
Greece,CRITICAL,Reptiles,1.0
Greece,CRITICAL,Vascular plants,17.0
Greece,ENDANGERED,Amphibians,2.0
Greece,ENDANGERED,Birds,17.0
Greece,ENDANGERED,Fish,16.0
Greece,ENDANGERED,Freshwater Fish,12.0
Greece,ENDANGERED,Mammals,13.0
Greece,ENDANGERED,Marine Fish,4.0
Greece,ENDANGERED,Reptiles,2.0
Greece,ENDANGERED,Vascular plants,64.0
Greece,TOT_KNOWN,Amphibians,23.0
Greece,TOT_KNOWN,Birds,440.0
Greece,TOT_KNOWN,Fish,665.0
Greece,TOT_KNOWN,Freshwater Fish,154.0
Greece,TOT_KNOWN,Mammals,115.0
Greece,TOT_KNOWN,Marine Fish,511.0
Greece,TOT_KNOWN,Reptiles,66.0
Greece,TOT_KNOWN,Vascular plants,5850.0
Greece,VULNERABLE,Amphibians,3.0
Greece,VULNERABLE,Birds,31.0
Greece,VULNERABLE,Fish,28.0
Greece,VULNERABLE,Freshwater Fish,23.0
Greece,VULNERABLE,Mammals,13.0
Greece,VULNERABLE,Marine Fish,5.0
Greece,VULNERABLE,Reptiles,6.0
Greece,VULNERABLE,Vascular plants,174.0
Hungary,CRITICAL,Birds,23.0
Hungary,CRITICAL,Invertebrates,9.0
Hungary,CRITICAL,Lichens,24.0
Hungary,CRITICAL,Mammals,5.0
Hungary,CRITICAL,Mosses,20.0
Hungary,CRITICAL,Vascular plants,115.0
Hungary,ENDANGERED,Birds,20.0
Hungary,ENDANGERED,Invertebrates,7.0
Hungary,ENDANGERED,Lichens,44.0
Hungary,ENDANGERED,Mammals,3.0
Hungary,ENDANGERED,Mosses,90.0
Hungary,ENDANGERED,Vascular plants,162.0
Hungary,TOT_KNOWN,Birds,238.0
